portfolio_id,portfolio_name,portfolio_type,layer,era,month,first_trade_date,boundary_date,ledger_effective_date,expanded_switch_date,boundary_source,ledger_verified
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2025_plus,2025-04-01,2025-04-01,2025-04-02,2025-04-01,2025-04-02,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2025_plus,2025-05-01,2025-05-01,2025-05-02,2025-05-01,2025-05-02,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2025_plus,2025-06-01,2025-06-02,2025-06-03,2025-06-02,2025-06-03,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2025_plus,2025-07-01,2025-07-01,2025-07-02,2025-07-01,2025-07-02,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2025_plus,2025-08-01,2025-08-01,2025-08-04,2025-08-01,2025-08-04,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2025_plus,2025-09-01,2025-09-02,2025-09-03,2025-09-02,2025-09-03,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2025_plus,2025-10-01,2025-10-01,2025-10-02,2025-10-01,2025-10-02,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2025_plus,2025-11-01,2025-11-03,2025-11-04,2025-11-03,2025-11-04,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2025_plus,2025-12-01,2025-12-01,2025-12-02,2025-12-01,2025-12-02,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2025_plus,2026-01-01,2026-01-02,2026-01-05,2026-01-02,2026-01-05,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2025_plus,2026-02-01,2026-02-02,2026-02-03,2026-02-02,2026-02-03,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2025_plus,2026-03-01,2026-03-02,2026-03-03,2026-03-02,2026-03-03,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2025_plus,2026-04-01,2026-04-01,2026-04-02,2026-04-01,2026-04-02,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2025_plus,2026-05-01,2026-05-01,2026-05-04,2026-05-01,2026-05-04,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2025_plus,2026-06-01,2026-06-01,2026-06-02,2026-06-01,2026-06-02,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2025_plus,2026-07-01,2026-07-01,2026-07-02,2026-07-01,2026-07-02,expanded_fallback,f
44fa8aad-9d7d-4424-82f9-665e1028a3b4,秘奥義-鉄壁,fof,L3,pre_2015,2014-04-01,2014-04-01,2014-04-02,,2014-04-02,expanded_fallback,f
44fa8aad-9d7d-4424-82f9-665e1028a3b4,秘奥義-鉄壁,fof,L3,pre_2015,2014-05-01,2014-05-01,2014-05-02,,2014-05-02,expanded_fallback,f
44fa8aad-9d7d-4424-82f9-665e1028a3b4,秘奥義-鉄壁,fof,L3,pre_2015,2014-06-01,2014-06-02,2014-06-03,,2014-06-03,expanded_fallback,f
44fa8aad-9d7d-4424-82f9-665e1028a3b4,秘奥義-鉄壁,fof,L3,pre_2015,2014-07-01,2014-07-01,2014-07-02,,2014-07-02,expanded_fallback,f
44fa8aad-9d7d-4424-82f9-665e1028a3b4,秘奥義-鉄壁,fof,L3,pre_2015,2014-08-01,2014-08-01,2014-08-04,,2014-08-04,expanded_fallback,f
44fa8aad-9d7d-4424-82f9-665e1028a3b4,秘奥義-鉄壁,fof,L3,pre_2015,2014-10-01,2014-10-01,2014-10-02,,2014-10-02,expanded_fallback,f
44fa8aad-9d7d-4424-82f9-665e1028a3b4,秘奥義-鉄壁,fof,L3,pre_2015,2014-11-01,2014-11-03,2014-11-04,,2014-11-04,expanded_fallback,f
44fa8aad-9d7d-4424-82f9-665e1028a3b4,秘奥義-鉄壁,fof,L3,pre_2015,2014-12-01,2014-12-01,2014-12-02,,2014-12-02,expanded_fallback,f
44fa8aad-9d7d-4424-82f9-665e1028a3b4,秘奥義-鉄壁,fof,L3,2015_2019,2015-01-01,2015-01-02,2015-01-05,,2015-01-05,expanded_fallback,f
44fa8aad-9d7d-4424-82f9-665e1028a3b4,秘奥義-鉄壁,fof,L3,2015_2019,2015-02-01,2015-02-02,2015-02-03,,2015-02-03,expanded_fallback,f
44fa8aad-9d7d-4424-82f9-665e1028a3b4,秘奥義-鉄壁,fof,L3,2015_2019,2015-03-01,2015-03-02,2015-03-03,2015-03-31,2015-03-03,expanded_fallback,f
44fa8aad-9d7d-4424-82f9-665e1028a3b4,秘奥義-鉄壁,fof,L3,2015_2019,2015-05-01,2015-05-01,2015-05-04,2015-05-01,2015-05-04,expanded_fallback,f
44fa8aad-9d7d-4424-82f9-665e1028a3b4,秘奥義-鉄壁,fof,L3,2015_2019,2015-06-01,2015-06-01,2015-06-02,2015-06-01,2015-06-02,expanded_fallback,f
44fa8aad-9d7d-4424-82f9-665e1028a3b4,秘奥義-鉄壁,fof,L3,2015_2019,2015-07-01,2015-07-01,2015-07-02,2015-07-01,2015-07-02,expanded_fallback,f
44fa8aad-9d7d-4424-82f9-665e1028a3b4,秘奥義-鉄壁,fof,L3,2015_2019,2015-08-01,2015-08-03,2015-08-04,2015-08-03,2015-08-04,expanded_fallback,f
44fa8aad-9d7d-4424-82f9-665e1028a3b4,秘奥義-鉄壁,fof,L3,2015_2019,2015-09-01,2015-09-01,2015-09-02,2015-09-01,2015-09-02,expanded_fallback,f
44fa8aad-9d7d-4424-82f9-665e1028a3b4,秘奥義-鉄壁,fof,L3,2015_2019,2015-10-01,2015-10-01,2015-10-02,2015-10-01,2015-10-02,expanded_fallback,f
44fa8aad-9d7d-4424-82f9-665e1028a3b4,秘奥義-鉄壁,fof,L3,2015_2019,2015-11-01,2015-11-02,2015-11-03,2015-11-02,2015-11-03,expanded_fallback,f
44fa8aad-9d7d-4424-82f9-665e1028a3b4,秘奥義-鉄壁,fof,L3,2015_2019,2015-12-01,2015-12-01,2015-12-02,2015-12-01,2015-12-02,expanded_fallback,f
44fa8aad-9d7d-4424-82f9-665e1028a3b4,秘奥義-鉄壁,fof,L3,2015_2019,2016-01-01,2016-01-04,2016-01-05,2016-01-04,2016-01-05,expanded_fallback,f
